"",""
"<a href="""%s""">Please check your module configuration</a> or create your wallet in <a href="""%s""">Lemonway BO</a>.","<a href="""%s""">Veuillez vérifier la configuration du module</a> ou créer votre premier wallet sur <a href="""%s""">le BOLemonway</a>."
"Account Lemon Way for E-commerce","Identifiant de votre compte Lemon Way for E-commerce"
"Action","Action"
"Actual card","Carte enregistrée"
"Add Wallet","Ajouter un wallet"
"Allow One clic","Autoriser le one clic"
"Amount to pay","Montant à payer"
"An error occurred while updating the wallets.","Une erreur est survenue lors de la mise à jour des wallets."
"An error occurred. Please contact support.","Une erreur est survenue. Veuillez contacter le support."
"Are you sure?","Etes vous sûr ?"
"Auto commission","Auto commission"
"Balance","Solde"
"Birth country","Pays de naissance"
"Cancel orders in pending status since more 30 minutes. Useful when a customer don't send his credit card information in hosted page.","Annule les commandes au statut ""en attente"" depuis plus de 30 minutes. Utile quand les clients ne valident pas le formulaire de saisie bancaire."
"Cancel orders in pending status","Annule les commandes au statut ""en attente"""
"Card Expiration date (one clic)","Date d'expiration de la carte enregistrée"
"Card ID one clic","Id de la carte enregistrée"
"Card Num (one clic)","Numéro de la carte enregistrée"
"Card type (one clic)","Type de carte enregistrée"
"Change Is Admin","Change Is Admin"
"Change Is company","Change Is company"
"Change Is debtor","Change Is debtor"
"Change Is default","Change Is default"
"Change Is One time customer","Change Is One time customer"
"Change status","Change status"
"City of Birth","Ville de naissance"
"City","Ville"
"Commission amount","Montant de la commission"
"Company description","Description de la société"
"Company ID number","SIRET/SIREN de la société"
"Company name","Nom de la société"
"Company website","Site web de la société"
"Could not find wallet to delete.","Le wallet à supprimer n'a pas été trouvé."
"Country","Pays"
"Created at","Créé le"
"Css url","Url de votre fichier CSS"
"CSV","CSV"
"Current balance","Solde actuel"
"Customer ID","ID du Client"
"Customer not found!","Le client n'a pas été trouvé!"
"Delete Wallet","Supprimé le wallet"
"Delete","Supprimer"
"Disabled","Désactivé"
"Display checkbox in frontend form","Affiche les boites à cocher sur le formulaire de la méthode en front (checkout)"
"Dob","Date de naissance"
"Document checked and accepted","Document vérifié et accepté"
"Document checked but not accepted","Document vérifié mais pas accepté"
"Document only received","Document reçu uniquement"
"Document replaced by another document","Document remplacé par un autre document"
"Document validity expired","Validité du document expiré"
"Edit Wallet '%s'","Editer le wallet '%s'"
"Edit","Editer"
"Email related to your wallet. It's used for retrieve wallet's informations.","Email correspondant à votre wallet. Il sera utilisé pour récupérer les informations du wallet."
"Email","Email"
"Enable debug log","Activer les log du debug"
"Enable test mode","Activer le mode test"
"Enabled","Activé"
"Error saving wallet","Erreur de sauvegarde du wallet"
"Excel","Excel"
"Expiration date","Date expiration"
"Firstname","Prénom"
"Home","Accueil"
"Iban informations","Information des Ibans"
"ID card (UE)","Carte d'identité (Zone UE)"
"Id","Id"
"If <b>No</b> <u>you must fill field Commission amount below</u>.","Si <b>Non</b> <u>vous devez renseigner le champs Commission ci-dessous.</u>."
"If you have cutomized marketplace module to include shipping amount in seller's amount, enable it.","A activer,si vous avez personnalisé le module Marketplace pour inclure le montant des frais de port dans le total marketplace avant le prélèvement de la commission."
"Is Admin","Est Admin"
"Is Blocked","Is Blocked"
"Is company","Is company"
"Is debtor","Is debtor"
"Is default","Is default"
"Is One time customer","Is One time customer"
"Kbis","Kbis"
"Lastname","Nom"
"Lemonway account configuration","Configuration du compteLemonway"
"Lemonway ID","Lemonway ID"
"Lemonway payment method (webkit)","Lemonway - Webkit"
"Lemonway payment","Lemonway"
"Log all queries to and fromLemonway API","Log toutes les requêtes entrantes/sortantes de l'API"
"Login Lemon Way for E-commerce","Identifiant de connexion à Lemon Way for E-commerce"
"Miscellaneous","Divers"
"Mobile Number","Numéro mobile"
"Money out","Money out"
"Moneyout from Magento module","Moneyout depuis le module magento"
"MoneyOut","Money out"
"Nationality","Nationalité"
"No","Non"
"None","Aucun"
"Not use recorded card data","Ne pas utliser ma carte enregistrer"
"Oneclic mode (card id: %s)","Mode Oneclic (ID carte: %s)"
"Order canceled automatically by cron because order is pending since %d minutes","Commande annulée automatiquement par la tâche planifiée car la commande était en attente depuis plus de %s minutes"
"Owner email","Email du porteur"
"Owner name","Nom du porteur"
"Passport (Not UE)","Passeport (NON UE)"
"Passport (UE)","Passeport (UE)"
"Password Lemon Way for E-commerce","Mot de passe de connexion à Lemon Way for E-commerce"
"Pay","Payer"
"Payer or beneficiary","Payeur ou bénéficiaire"
"Payment informations","Informations du paiement money out"
"Phone Number","Numéro de téléphone"
"Please create at least one for wallet <b>%s</b> in <a href="""%s""">Lemonway BO </a>.","Veuillez en créer au moins un pour le wallet <b>%s</b> sur le <a href="""%s""">BOLemonway</a>."
"Please select wallets to delete.","Veuillez sélectionner les wallets à supprimer"
"Please select wallets.","Veuillez sélectionner les wallets."
"Postcode","Code postal"
"Prefix","Préfix"
"Proof of address","Justificatif de domicile"
"Reset","Reset"
"Residence permit","Carte de séjour"
"RIB","RIB"
"Save And Continue Edit","Sauvegarder et continuer l'édition"
"Save new card data","Enregister une nouvelle empreinte de carte"
"Save Wallet","Sauvegarder le wallet"
"Save your card data for a next buy.","Enregister une empreinte de carte pour faciliter mes prochains achats."
"Shipping amount in marketplace total","Montant des frais de port dans le total marketplace"
"Status","Statut"
"Store views","Vue magasin"
"Street","Rue"
"The wallets has been deleted.","Le wallet a bien été supprimé."
"There was a problem saving the wallet.","Il y a eu un problème lors de la sauvegarde du wallet."
"There was an error deleting wallet.","Il y a eu un problème lors de la suppression du wallet."
"There was an error deleting wallets.","Il y a eu un problème lors de la suppression des wallets."
"There was an error updating wallets.","Il y a eu un problème lors de la mise ) jour des wallets."
"This information has been sent to you by e-mail","Cet identifiant vous a été envoyé par mail"
"This wallet no longer exists.","Ce wallet n'existe plus."
"Title","Titre"
"Total of %d record(s) have been deleted.","%d enregistrements supprimés."
"Total of %d record(s) have been updated.","%d enregistrements mis à jour."
"Total of %d wallets were successfully deleted.","%d wallets supprimés."
"Total of %d wallets were successfully updated.","%d wallets mis à jours."
"Transaction Failed. Order was canceled automatically.","Échec de transaction. Commande annulée automatiquement."
"Unable to find wallet to save.","Le wallet à sauvegarder n'a pas été trouvé."
"Updated at","Mis à jour le"
"Use my recorded card","Utiliser ma carte enregistrée"
"Wallet ID","Wallet ID"
"Wallet informations","Information du wallet"
"Wallet was saved","Le wallet à été sauvegardé"
"Wallet was successfully deleted.","Le wallet à été supprimé"
"Wallet was successfully saved","Le wallet à été sauvegardé"
"Wallet","Wallet"
"Wallets","Wallets"
"We can't retrieve your wallet!","Les informations de votre wallet n'ont pu être récupérer!"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes for tests, No to go Live","OUI pour être en test, NON pour être en Live"
"Yes","Oui"
"You can't paid amount upper of your balance amount: %s","Vous ne pouvez pas payer un montant supérieur à votre solde de %s"
"You don't have any Iban!","Vous n'avez aucun Iban enregistré!"
"You paid %s to your Iban %s from your wallet <b>%s</b>","Vous avez payer %s vers l'IBAN %s depuis le wallet <b>%s</b>"
"You will be redirect to payment page after you submit order.","Vous serez redirigé vers la page de paiement après avoir validé votre commande."
"Your order will be paid with your registered card after you submit order","Votre commande sera payée avec votre carte enregistrée dés que vous aurez validé votre commande."
"Your wallet email","L'email de votre wallet"
